index	label	community	cifti_label
299	R_SMhand_36	SMhand	Parcel_299
300	R_SMhand_37	SMhand	Parcel_300
301	R_SMhand_38	SMhand	Parcel_301
302	L_SMmouth_1	SMmouth	Parcel_302
303	L_SMmouth_2	SMmouth	Parcel_303
304	L_SMmouth_3	SMmouth	Parcel_304
305	L_SMmouth_4	SMmouth	Parcel_305
306	R_SMmouth_5	SMmouth	Parcel_306
307	R_SMmouth_6	SMmouth	Parcel_307
308	R_SMmouth_7	SMmouth	Parcel_308
309	R_SMmouth_8	SMmouth	Parcel_309
310	L_Auditory_1	Auditory	Parcel_310
311	L_Auditory_2	Auditory	Parcel_311
312	L_Auditory_3	Auditory	Parcel_312
313	L_Auditory_4	Auditory	Parcel_313
314	L_Auditory_5	Auditory	Parcel_314
315	L_Auditory_6	Auditory	Parcel_315
316	L_Auditory_7	Auditory	Parcel_316
317	L_Auditory_8	Auditory	Parcel_317
318	L_Auditory_9	Auditory	Parcel_318
319	L_Auditory_10	Auditory	Parcel_319
320	L_Auditory_11	Auditory	Parcel_320
321	L_Auditory_12	Auditory	Parcel_321
322	R_Auditory_13	Auditory	Parcel_322
323	R_Auditory_14	Auditory	Parcel_323
324	R_Auditory_15	Auditory	Parcel_324
325	R_Auditory_16	Auditory	Parcel_325
326	R_Auditory_17	Auditory	Parcel_326
327	R_Auditory_18	Auditory	Parcel_327
328	R_Auditory_19	Auditory	Parcel_328
329	R_Auditory_20	Auditory	Parcel_329
330	R_Auditory_21	Auditory	Parcel_330
331	R_Auditory_22	Auditory	Parcel_331
332	R_Auditory_23	Auditory	Parcel_332
333	R_Auditory_24	Auditory	Parcel_333
